Date (GMT+1),Market,Direction,Margin,$ Before,$ After,P/L,Setup,TP/SL,W/L,Type,Risk,Confluence,Leverage,Rating
"Jun 7, 2025 - 1:30 PM",TRXUSDT.P,LONG,$300.00,"$3,407.00","$3,235.66",-$171.00,PA only,No,L,Swing trade,4:1,1,25,🔴 C Tier
"Jun 7, 2025 - 4:51PM",TRXUSDT.P,SHORT,$500.00,"$3,235.66","$3,207.80",-$27.00,"PA, S/R",No,L,Day trade,3:1,2,25,🟠 B Tier
"Jun 7, 2025 - 9:02 PM",TRXUSDT.P,SHORT,$300.00,"$3,366.00","$3,314.00",-$51.65,"EMA, Fib, PA, S/R",Yes,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 7, 2025 - 7:13 PM",TRXUSDT.P,LONG,$500.00,"$3,207.80","$3,365.67",$157.00,"PA, S/R",Yes,W,Day trade,3:1,2,25,🟠 B Tier
"Jun 7, 2025 - 9:57 PM",TRXUSDT.P,LONG,$300.00,"$3,314.02","$3,255.00",-$59.02,"PA, S/R",Yes,L,Scalp,4:1,2,25,🟠 B Tier
"Jun 7, 2025 - 9:58 PM",XMRUSDT.P,SHORT,$300.00,"$3,255.00","$3,226.27",-$28.73,"PA only, S/R",No,L,Scalp,3:1,2,25,🟠 B Tier
"Jun 7, 2025 - 11:32 PM",TRXUSDT.P,SHORT,$300.00,"$3,226.27","$3,152.49",-$73.78,PA only,Yes,L,Scalp,3:1,1,25,🔴 C Tier
"Jun 7, 2025 - 11:40 PM",TRXUSDT.P,LONG,$250.00,"$3,152.49","$3,111.39",-$41.00,PA only,Yes,L,Scalp,4:1,1,25,🔴 C Tier
"Jun 7, 2025 - 11:55 PM",TRXUSDT.P,SHORT,$300.00,"$3,111.39","$2,926.04",-$185.35,PA only,No,L,Day trade,3:1,1,25,🔴 C Tier
"Jun 8, 2025 - 2:40 AM",TRXUSDT.P,LONG,$200.00,"$2,926.04","$2,693.30",-$232.74,PA only,No,L,Day trade,2:1,1,25,🔴 C Tier
"Jun 8, 2025 - 11:17 AM",SOLUSDT.P,SHORT,$300.00,"$2,693.30","$2,908.78",$215.47,"PA, S/R",Yes,W,Day trade,3:1,2,25,🟠 B Tier
"Jun 8, 2025 - 12:52 PM",XMRUSDT.P,LONG,$200.00,"$2,908.78","$2,920.04",$11.26,PA only,No,W,Scalp,4:1,1,25,🔴 C Tier
"Jun 8, 2025 - 1:27 PM",UNIUSDT.P,LONG,$200.00,"$2,920.04","$2,908.96",-$11.07,PA only,No,L,Scalp,3:1,1,25,🔴 C Tier
"Jun 8, 2025 - 1:32 PM",NEOUSDT.P,LONG,$250.00,"$2,908.96","$2,718.53",-$190.43,"EMA, PA",Yes,L,Day trade,3:1,2,25,🟠 B Tier
"Jun 8, 2025 - 1:40 PM",UNIUSDT.P,SHORT,$250.00,"$2,718.53","$2,734.35",$15.82,"EMA, PA, S/R",No,W,Scalp,4:1,3,25,🟡 B+ Tier
"Jun 8, 2025 - 4:05 PM",XRPUSDT.P,SHORT,$300.00,"$2,734.35","$2,601.42",-$132.94,"PA, S/R",Yes,L,Day trade,3:1,2,25,🟠 B Tier
"Jun 9, 2025 - 12:03 AM",NEOUSDT.P,SHORT,$300.00,"$2,601.42","$2,750.45",$149.03,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 9, 2025 - 4:11 AM",XLMUSDT.P,SHORT,$250.00,"$2,750.45","$2,828.24",$77.80,"EMA, PA",Yes,W,Scalp,2:1,2,25,🟠 B Tier
"Jun 9, 2025 - 4:23 AM",XLMUSDT.P,SHORT,$250.00,"$2,828.24","$2,922.38",$94.14,"EMA, PA",Yes,W,Scalp,3:1,2,25,🟠 B Tier
"Jun 9, 2025 - 11:35 AM",AAVEUSDT.P,LONG,$300.00,"$2,922.38","$3,102.83",$180.45,"EMA, PA, S/R",Yes,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 9, 2025 - 6:10 PM",XMRUSDT.P,SHORT,$250.00,"$3,102.83","$3,195.70",$92.87,"EMA, PA, S/R",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 9, 2025 - 6:11 PM",BNBUSDT.P,SHORT,$500.00,"$3,195.70","$2,894.31",-$301.39,"EMA, PA, S/R",No,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 9, 2025 - 6:12 PM",XMRUSDT.P,LONG,$200.00,"$2,894.31","$2,959.98",$65.67,"EMA, PA, S/R",No,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 9, 2025 - 6:56 PM",TRXUSDT.P,LONG,$250.00,"$2,959.98","$3,124.67",$164.00,"EMA, PA, S/R",Yes,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 9, 2025 - 9:39 PM",SOLUSDT.P,SHORT,$500.00,"$3,124.67","$3,033.74",-$90.00,"PA, S/R",No,L,Scalp,3:1,2,25,🟠 B Tier
"Jun 9, 2025 - 10:14 PM",XLMUSDT.P,LONG,$250.00,"$3,033.74","$3,142.13",$108.39,"EMA, PA",Yes,W,Scalp,3:1,2,25,🟠 B Tier
"Jun 10, 2025 - 4:48 AM",SHIBUSDT.P,SHORT,$450.00,"$3,142.13","$3,185.93",$40.61,"EMA, Fib, S/R",No,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 10, 2025 - 8:50 AM",XMRUSDT.P,LONG,$400.00,"$3,185.93","$3,102.74",-$83.00,"EMA, VP",Yes,L,Scalp,2:1,2,25,🟠 B Tier
"Jun 10, 2025 - 8:50 AM",BTCUSDT.P,LONG,$300.00,"$3,102.74","$2,934.07",-$168.66,"EMA, PA",Yes,L,Day trade,2:1,2,25,🟠 B Tier
"Jun 10, 2025 - 2:44 PM",UNIUSDT.P,SHORT,$250.00,"$2,934.07","$2,749.83",-$184.25,"PA, RSI, S/R",Yes,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 10, 2025 - 8:20 PM",XMRUSDT.P,LONG,$300.00,"$2,749.83","$2,972.33",$222.50,"EMA, Fib, PA, VP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 10, 2025 - 8:25 PM",XRPUSDT.P,LONG,$200.00,"$2,972.33","$3,073.61",$101.28,"EMA, PA, VP",No,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 11, 2025 - 3:25 PM",XRPUSDT.P,LONG,$500.00,"$3,117.19","$3,272.51",$155.31,"EMA, Fib, PA, VWAP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 11, 2025 - 5:31 PM",XMRUSDT.P,LONG,$500.00,"$3,272.51","$3,075.27",-$197.24,"EMA, PA, S/R, VP",No,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 11, 2025 - 1: 43 PM",AVAXUSDT.P,LONG,$400.00,"$2,895.98","$3,117.19",$221.21,"EMA, Fib, PA, S/R",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 11, 2025 - 1:25 PM",XLMUSDT.P,SHORT,$500.00,"$3,073.61","$2,895.98",-$177.63,"EMA, Fib, PA, S/R",No,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 11, 2025 - 4:20 AM",AVAXUSDT.P,LONG,$400.00,"$3,075.27","$2,909.75",-$165.52,"EMA, PA, S/R",No,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 12, 2025 - 4:21 AM",BTCUSDT.P,LONG,$300.00,"$2,909.75","$2,816.44",-$93.00,"EMA, PA, S/R",Yes,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 12, 2025 - 8:40 PM",NEOUSDT.P,LONG,$800.00,"$2,816.44","$2,200.58",-$615.00,"EMA, Fib, PA, S/R, VWAP",No,L,Day trade,3:1,5,25,⚪ S Tier
"Jun 12, 2025 - 9:47 PM",UNIUSDT.P,SHORT,$500.00,"$2,200.58","$2,514.23",$314.00,"PA, RSI, S/R",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 13, 2025 - 1:01 AM",BTCUSDT.P,LONG,$400.00,"$2,514.23","$2,443.15",-$71.00,"Fib, RSI, S/R",Yes,L,Scalp,3:1,3,25,🟡 B+ Tier
"Jun 13, 2025 - 1:10 AM",XRPUSDT.P,LONG,$800.00,"$2,443.15","$2,141.76",-$301.00,"EMA, PA, S/R",No,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 13, 2025 - 1:36 AM",DOTUSDT.P,SHORT,$400.00,"$2,141.76","$2,397.70",$256.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 13, 2025 - 1:36 AM",UNIUSDT.P,SHORT,$450.00,"$2,397.70","$3,023.37",$626.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,4:1,4,25,🟢 A Tier
"Jun 13, 2025 - 1:36 AM",XLMUSDT.P,SHORT,$450.00,"$3,023.37","$3,683.21",$660.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,4:1,4,25,🟢 A Tier
"Jun 13, 2025 - 2:04 AM",XRPUSDT.P,SHORT,$300.00,"$3,683.21","$3,851.47",$168.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 13, 2025 - 2:50 AM",SOLUSDT.P,LONG,$200.00,"$3,851.47","$3,793.55",-$58.00,"PA, S/R",Yes,L,Scalp,3:1,2,25,🟠 B Tier
"Jun 13, 2025 - 2:51 AM",SOLUSDT.P,SHORT,$200.00,"$3,793.55","$3,839.17",$46.00,"PA, RSI, S/R",No,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 13, 2025 - 3:48 AM",BNBUSDT.P,SHORT,$200.00,"$3,839.17","$3,868.42",$29.00,"EMA, PA, RSI",No,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 13, 2025 - 12:55 PM",BNBUSDT.P,SHORT,$500.00,"$3,868.42","$3,821.86",-$46.00,"EMA, Fib, PA, S/R",Yes,L,Scalp,3:1,4,25,🟢 A Tier
"Jun 13, 2025 - 5:35 PM",AVAXUSDT.P,LONG,$350.00,"$3,821.86","$3,874.49",$53.00,"EMA, Fib, PA, S/R",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 13, 2025 - 7:30 PM",AVAXUSDT.P,LONG,$350.00,"$3,874.49","$3,808.91",-$67.00,"EMA, Fib, PA, S/R",Yes,L,Scalp,2:1,4,25,🟢 A Tier
"Jun 13, 2025 - 9:25 PM",BNBUSDT.P,SHORT,$300.00,"$3,808.91","$3,750.44",-$58.00,"EMA, Fib, PA, S/R",Yes,L,Scalp,3:1,4,25,🟢 A Tier
"Jun 13, 2025 - 11:04 PM",XLMUSDT.P,LONG,$250.00,"$3,750.44","$3,804.42",$54.00,"EMA, Fib, PA, RSI, S/R",No,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 13, 2025 - 11:55 PM",AAVEUSDT.P,LONG,$500.00,"$3,804.42","$3,914.41",$110.00,"EMA, Fib, PA, RSI, S/R",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 14, 2025 - 4:30 PM",AAVEUSDT.P,LONG,$400.00,"$3,914.41","$3,720.89",-$194.00,"EMA, Fib, PA, S/R",Yes,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 14, 2025 - 5:30 PM",BNBUSDT.P,SHORT,$50.00,"$3,720.89","$3,727.89",$7.00,"EMA, PA, RSI, S/R",No,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 14, 2025 - 9:05 PM",NEOUSDT.P,LONG,$300.00,"$3,727.89","$3,635.60",-$92.00,"PA, RSI, S/R",No,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 14, 2025 - 10:15 PM",XLMUSDT.P,SHORT,$500.00,"$3,635.60","$3,488.41",-$147.00,"Fib, PA, S/R",Yes,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 14, 2025 - 10:16 PM",AAVEUSDT.P,LONG,$500.00,"$3,488.41","$3,710.49",$222.00,"EMA, Fib, PA, RSI, S/R",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 14, 2025 - 10:18 PM",LTCUSTD.P,SHORT,$300.00,"$3,710.49","$3,661.78",-$49.00,"PA, RSI, S/R, VP",Yes,L,Scalp,2:1,4,25,🟢 A Tier
"Jun 14, 2025 - 10:20 PM",AAVEUSDT.P,LONG,$400.00,"$3,661.78","$3,766.79",$105.00,"EMA, Fib, PA, S/R",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 14, 2025 - 10:21 PM",AAVEUSDT.P,LONG,$300.00,"$3,766.79","$3,909.65",$143.00,"PA, S/R, VP, VWAP",Yes,W,Scalp,3:1,4,25,🟢 A Tier
"Jun 14, 2025 - 10:24 PM",UNIUSDT.P,LONG,$100.00,"$3,909.65","$3,928.67",$19.00,"PA, RSI, S/R",Yes,W,Scalp,3:1,3,25,🟡 B+ Tier
"Jun 14, 2025 - 10:30 PM",BNBUSDT.P,LONG,$50.00,"$3,928.67","$3,931.83",$3.00,PA only,No,W,Scalp,2:1,1,25,🔴 C Tier
"Jun 15, 2025 - 12:47 AM",BNBUSDT.P,LONG,$250.00,"$3,931.83","$4,004.04",$72.00,"EMA, Fib, PA, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 15, 2025 - 3:42 PM",XLMUSDT.P,LONG,$500.00,"$4,004.04","$4,122.34",$118.00,"Fib, S/R, VP, VWAP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 15, 2025 - 9:07 PM",AVAXUSDT.P,LONG,$600.00,"$4,122.34","$3,830.45",-$292.00,"PA, S/R, VP",No,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 15, 2025 - 9:30 PM",AAVEUSDT.P,SHORT,$750.00,"$3,830.45","$4,137.75",$307.00,"PA, S/R",Yes,W,Scalp,3:1,2,25,🟠 B Tier
"Jun 15, 2025 - 11:05 PM",SOLUSDT.P,LONG,$400.00,"$4,137.75","$4,305.00",$167.00,"PA, RSI, S/R, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 17, 2025 - 3:52 AM",SOLUSDT.P,LONG,$500.00,"$4,305.00","$4,517.47",$212.00,"EMA, Fib, S/R, VP, VWAP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 18, 2025 - 4:30 PM",BTCUSDT.P,LONG,"$1,000.00","$4,439.60","$3,928.00",-$512.00,"Fib, S/R, VP",No,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 18, 2025 - 1:34 AM",UNIUSDT.P,SHORT,$500.00,"$4,517.47","$4,439.60",-$78.00,"PA, S/R",Yes,L,Scalp,2:1,2,25,🟠 B Tier
"Jun 19, 2025 - 3:30 AM",XLMUSDT.P,LONG,$800.00,"$3,928.00","$3,537.17",-$391.00,"EMA, PA, S/R",No,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 19, 2025 - 3:43 AM",XLMUSDT.P,SHORT,$400.00,"$3,537.17","$3,852.64",$315.00,"EMA, Fib, PA, S/R, VWAP",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 19, 2025 - 12:43 PM",UNIUSDT.P,SHORT,$450.00,"$3,852.64","$3,688.27",-$164.00,"PA, S/R, VP",No,L,Scalp,4:1,3,25,🟡 B+ Tier
"Jun 19, 2025 - 12:59 PM",AVAXUSDT.P,SHORT,$500.00,"$3,688.27","$3,954.82",$267.00,"EMA, Fib, PA, VWAP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 19, 2025 - 1:22 PM",XRPUSDT.P,SHORT,$400.00,"$3,954.82","$4,105.28",$150.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 19, 2025 - 1:41 PM",UNIUSDT.P,SHORT,"$1,000.00","$4,105.28","$4,605.65",$500.00,"EMA, Fib, PA, VWAP",Yes,W,Day trade,4:1,4,25,🟢 A Tier
"Jun 20, 2025 - 3:46 AM",XMRUSDT.P,LONG,$600.00,"$4,605.65","$4,751.48",$146.00,"EMA, Fib, RSI, S/R, VWAP",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 20, 2025 - 5:50 AM",LINKUSDT.P,SHORT,$500.00,"$4,751.48","$4,887.92",$136.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 20, 2025 - 5:50 AM",AAVEUSDT.P,SHORT,$700.00,"$4,887.92","$5,242.40",$354.00,"EMA, PA, S/R, VP",Yes,W,Day trade,4:1,4,25,🟢 A Tier
"Jun 20, 2025 - 5:52 AM",XLMUSDT.P,SHORT,$400.00,"$5,242.40","$5,381.15",$138.75,"PA, VP, VWAP",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jun 20, 2025 - 8:19 AM",AAVEUSDT.P,SHORT,$400.00,"$5,381.15","$5,230.36",-$151.00,"EMA, PA, S/R, VP",Yes,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 20, 2025 - 1:43 PM",XMRUSDT.P,SHORT,$500.00,"$5,230.36","$5,106.57",-$124.00,"EMA, PA, VP",Yes,L,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 20, 2025 - 2:38 PM",DOTUSDT.P,LONG,$800.00,"$5,106.57","$4,966.30",-$141.00,"PA, S/R, VP, VWAP",No,L,Scalp,4:1,4,25,🟢 A Tier
"Jun 21, 2025 - 3:30 PM",XMRUSDT.P,SHORT,$600.00,"$4,966.30","$5,115.85",$150.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 21, 2025 - 8:15 PM",XMRUSDT.P,SHORT,$250.00,"$5,115.85","$5,173.02",$57.00,"EMA, S/R, VP, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 21, 2025 - 9:05 PM",XMRUSDT.P,SHORT,$300.00,"$5,173.02","$5,234.35",$65.00,"Fib, PA, S/R, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 21, 2025 - 9:50 PM",XMRUSDT.P,SHORT,$300.00,"$5,234.35","$5,318.14",$84.00,"PA, S/R, VWAP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 2:40 AM",XMRUSDT.P,LONG,$500.00,"$5,318.14","$5,341.45",$23.00,"PA, S/R, VWAP",No,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 1:47 AM",XLMUSDT.P,LONG,$500.00,"$5,341.45","$5,443.84",$102.00,"Fib, PA, S/R",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 2:38 AM",AAVEUSDT.P,LONG,"$1,000.00","$5,443.84","$4,947.81",-$496.00,"EMA, Fib, PA, S/R",No,L,Day trade,3:1,4,25,🟢 A Tier
"Jun 22, 2025 - 3:21 AM",UNIUSDT.P,SHORT,$900.00,"$4,947.81","$5,471.07",$523.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,4:1,5,25,⚪ S Tier
"Jun 22, 2025 - 5:23 AM",XMRUSDT.P,LONG,$300.00,"$5,471.07","$5,631.01",$160.00,"PA, S/R, VWAP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 3:50 PM",SOLUSDT.P,LONG,$500.00,"$5,631.01","$5,870.12",$239.00,"PA, RSI, S/R, VP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 22, 2025 - 5:48 PM",LINKUSDT.P,SHORT,$400.00,"$5,870.12","$5,821.57",-$49.00,"PA, S/R, VP, VWAP",Yes,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 22, 2025 - 7:17 PM",UNIUSDT.P,SHORT,$500.00,"$5,821.57","$6,072.02",$250.00,"EMA, PA, RSI",Yes,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 8:26 PM",UNIUSDT.P,SHORT,$500.00,"$6,072.02","$6,174.43",$102.00,"EMA, PA, VWAP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 22, 2025 - 9:09 PM",BNBUSDT.P,SHORT,$400.00,"$6,174.43","$6,246.44",$72.00,"EMA, PA, S/R, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 22, 2025 - 11:40 PM",UNIUSDT.P,SHORT,$400.00,"$6,246.44","$5,930.31",-$315.00,"EMA, PA, S/R",No,L,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 23, 2025 - 6:40 PM",XLMUSDT.P,LONG,$800.00,"$5,930.31","$6,331.43",$401.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 24, 2025 - 4:46 PM",UNIUSDT.P,LONG,$100.00,"$6,565.06","$6,580.00",$15.00,"EMA, PA, RSI, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 24, 2025 - 3:15 PM",AAVEUSDT.P,LONG,$500.00,"$6,331.43","$6,565.06",$234.00,"EMA, PA, VP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 24, 2025 - 5:01 PM",DOTUSDT.P,LONG,$400.00,"$6,580.00","$6,613.32",$33.00,"EMA, PA, S/R, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 25, 2025 - 2:29 PM",XRPUSDT.P,LONG,$600.00,"$6,613.32","$6,862.78",$249.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jun 25, 2025 - 10:01 PM",UNIUSDT.P,LONG,$800.00,"$6,862.78","$7,198.49",$336.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 26, 2025 - 3:53 AM",AAVEUSDT.P,SHORT,$500.00,"$7,198.49","$7,086.86",-$111.00,"EMA, PA, S/R, VP",Yes,L,Day trade,2:1,4,25,🟢 A Tier
"Jun 26, 2025 - 4:04 AM",AAVEUSDT.P,LONG,$600.00,"$7,086.86","$7,490.32",$403.00,"EMA, PA, S/R, VP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 26, 2025 - 8:44 PM",UNIUSDT.P,SHORT,$300.00,"$7,490.32","$7,539.91",$50.00,"EMA, PA, S/R, VP, VWAP",Yes,W,Scalp,2:1,5,25,⚪ S Tier
"Jun 26, 2025 - 10:28 PM",DOTUSDT.P,SHORT,$200.00,"$7,539.91","$7,575.94",$36.00,"EMA, PA, S/R",No,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jun 26, 2025 - 10:50 PM",UNIUSDT.P,SHORT,$400.00,"$7,575.94","$7,472.81",-$103.00,"EMA, PA, VP",No,L,Scalp,3:1,3,25,🟡 B+ Tier
"Jun 27, 2025 - 2:35 AM",UNIUSDT.P,LONG,$500.00,"$7,472.81","$7,623.09",$150.00,"EMA, PA, S/R, VWAP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jun 27, 2025 - 5:35 AM",DOTUSDT.P,SHORT,$600.00,"$7,623.09","$7,503.30",-$120.00,"EMA, PA, S/R, VWAP",Yes,L,Day trade,3:1,4,25,🟢 A Tier
"Jun 27, 2025 - 5:49 AM",AAVEUSDT.P,LONG,$600.00,"$7,503.30","$7,764.12",$261.00,"EMA, Fib, PA, S/R, VP",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 27, 2025 - 5:55 PM",AAVEUSDT.P,LONG,$500.00,"$7,764.12","$7,887.28",$123.00,"EMA, PA, S/R, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 27, 2025 - 10:08 PM",XLMUSDT.P,SHORT,$400.00,"$7,887.28","$7,835.32",-$52.00,"EMA, PA, VP, VWAP",Yes,L,Scalp,2:1,4,25,🟢 A Tier
"Jun 28, 2025 - 12:58 AM",AAVEUSDT.P,LONG,$400.00,"$7,835.32","$7,917.53",$82.00,"EMA, PA, VP, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 28, 2025 - 1:29 AM",XRPUSDT.P,LONG,$500.00,"$7,917.53","$8,018.62",$101.00,"EMA, Fib, PA, S/R",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 28, 2025 - 6:56 PM",UNIUSDT.P,LONG,$500.00,"$8,018.62","$8,133.42",$115.00,"EMA, PA, VP, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 28, 2025 - 8:20 PM",AAVEUSDT.P,LONG,$800.00,"$8,133.42","$8,355.62",$222.00,"EMA, Fib, PA, VWAP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jun 29, 2025 - 12:10 AM",XRPUSDT.P,LONG,$500.00,"$8,355.62","$8,363.87",$8.00,"EMA, PA, S/R, VWAP",No,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 29, 2025 - 7:32 PM",XRPUSDT.P,LONG,$600.00,"$8,363.87","$8,438.88",$75.00,"EMA, PA, VP",No,W,Scalp,3:1,3,25,🟡 B+ Tier
"Jun 29, 2025 - 7:47 PM",BTCUSDT.P,LONG,$600.00,"$8,438.88","$8,473.69",$35.00,"EMA, PA, S/R, VP",No,W,Scalp,2:1,4,25,🟢 A Tier
"Jun 29, 2025 - 11:03 PM",DOTUSDT.P,LONG,$800.00,"$8,473.69","$8,801.36",$328.00,"EMA, PA, S/R, VP, VWAP",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jun 30, 2025 - 4:47 PM",AAVEUSDT.P,LONG,"$1,000.00","$8,801.36","$9,366.43",$565.00,"EMA, PA, S/R, VP",Yes,W,Swing trade,3:1,4,25,🟢 A Tier
